timestamp,Open,High,Low,Close,Volume
2024-12-01 00:00:00,3703.83,3727.43,3687.01,3688.48,10436.0296
2024-12-01 01:00:00,3688.48,3731.2,3674.71,3710.04,10370.47423
2024-12-01 02:00:00,3710.04,3713.79,3658.55,3663.91,11682.1146
2024-12-01 03:00:00,3663.91,3712.52,3663.03,3706.71,5525.4036
2024-12-01 04:00:00,3706.71,3707.55,3687.69,3701.78,8934.03016
2024-12-01 05:00:00,3701.78,3701.78,3681.97,3683.08,3603.51794
2024-12-01 06:00:00,3683.08,3705.39,3681.09,3699.82,3962.49782
2024-12-01 07:00:00,3699.82,3717.48,3693.54,3701.81,6332.58995
2024-12-01 08:00:00,3701.81,3717.19,3698.32,3707.87,8970.53875
2024-12-01 09:00:00,3707.87,3710.69,3690.72,3700.63,4542.27531
2024-12-01 10:00:00,3700.63,3700.9,3674.92,3681.99,4656.24614
2024-12-01 11:00:00,3681.99,3697.29,3678.44,3691.88,3624.23378
2024-12-01 12:00:00,3691.88,3695.02,3679.78,3682.33,3987.37947
2024-12-01 13:00:00,3682.33,3712.86,3678.51,3701.18,6085.4496
2024-12-01 14:00:00,3701.18,3711.58,3693.8,3706.12,4466.48614
2024-12-01 15:00:00,3706.12,3746.71,3701.0,3728.0,11407.70199
2024-12-01 16:00:00,3728.0,3744.44,3723.23,3725.61,5528.35559
2024-12-01 17:00:00,3725.61,3729.95,3705.65,3722.78,7300.63076
2024-12-01 18:00:00,3722.78,3730.95,3707.45,3711.25,5401.87586
2024-12-01 19:00:00,3711.25,3717.85,3692.96,3707.16,5433.97482
2024-12-01 20:00:00,3707.16,3709.66,3678.44,3689.53,7574.69427
2024-12-01 21:00:00,3689.53,3705.83,3685.66,3705.83,6660.79683
2024-12-01 22:00:00,3705.83,3734.02,3701.13,3720.83,6425.00058
2024-12-01 23:00:00,3720.83,3728.36,3702.38,3706.65,5729.92886
2024-12-02 00:00:00,3706.65,3718.89,3691.61,3700.91,10337.82664
2024-12-02 01:00:00,3700.91,3738.92,3696.56,3732.45,7420.2982
2024-12-02 02:00:00,3732.45,3740.25,3703.41,3740.25,6709.42135
2024-12-02 03:00:00,3740.25,3760.7,3674.5,3684.87,12640.32716
2024-12-02 04:00:00,3684.87,3696.48,3650.0,3691.15,11550.59926
2024-12-02 05:00:00,3691.15,3709.32,3671.4,3675.95,7240.31704
2024-12-02 06:00:00,3675.95,3684.2,3653.55,3680.5,5927.2551
2024-12-02 07:00:00,3680.5,3686.11,3652.42,3666.4,5513.42883
2024-12-02 08:00:00,3666.4,3672.25,3585.85,3602.3,19034.97509
2024-12-02 09:00:00,3602.3,3622.07,3593.75,3621.01,7643.76938
2024-12-02 10:00:00,3621.01,3622.42,3571.37,3578.42,9128.25098
2024-12-02 11:00:00,3578.42,3597.29,3569.12,3588.72,6201.60408
2024-12-02 12:00:00,3588.72,3615.21,3582.17,3595.45,6613.61314
2024-12-02 13:00:00,3595.45,3629.75,3590.27,3626.44,7627.47074
2024-12-02 14:00:00,3626.44,3667.4,3615.13,3640.69,13024.65584
2024-12-02 15:00:00,3640.69,3680.52,3620.32,3672.0,10779.02092
2024-12-02 16:00:00,3672.0,3681.17,3617.36,3625.22,16228.98307
2024-12-02 17:00:00,3625.22,3644.72,3554.46,3565.84,17705.74387
2024-12-02 18:00:00,3565.84,3633.19,3563.93,3622.44,8076.18243
2024-12-02 19:00:00,3622.44,3622.72,3584.07,3612.27,7637.75369
2024-12-02 20:00:00,3612.27,3631.07,3601.56,3614.6,7328.74797
2024-12-02 21:00:00,3614.6,3628.59,3598.45,3615.73,7790.26803
2024-12-02 22:00:00,3615.73,3622.34,3598.14,3614.63,3915.43177
2024-12-02 23:00:00,3614.63,3644.62,3611.39,3643.4,6377.0377
2024-12-03 00:00:00,3643.4,3646.82,3621.06,3636.72,10583.43988
2024-12-03 01:00:00,3636.72,3654.02,3616.93,3618.66,14322.95118
2024-12-03 02:00:00,3618.66,3658.15,3607.44,3643.76,9218.15381
2024-12-03 03:00:00,3643.76,3657.08,3635.4,3639.15,6260.04181
2024-12-03 04:00:00,3639.15,3655.95,3629.64,3644.27,7369.12276
2024-12-03 05:00:00,3644.27,3664.13,3640.01,3654.8,6343.70383
2024-12-03 06:00:00,3654.8,3670.91,3626.17,3633.8,11792.97452
2024-12-03 07:00:00,3633.8,3641.45,3599.9,3616.71,12493.00634
2024-12-03 08:00:00,3616.71,3634.5,3600.43,3614.15,15141.33598
2024-12-03 09:00:00,3614.15,3616.05,3596.29,3610.47,12993.02727
2024-12-03 10:00:00,3610.47,3618.5,3585.21,3594.11,9139.98655
2024-12-03 11:00:00,3594.11,3614.59,3591.09,3613.13,10018.69279
2024-12-03 12:00:00,3613.13,3617.45,3597.61,3605.0,7933.51838
2024-12-03 13:00:00,3605.0,3608.98,3537.84,3545.69,18152.1858
2024-12-03 14:00:00,3545.69,3586.41,3501.25,3580.07,28966.71625
2024-12-03 15:00:00,3580.07,3597.83,3557.19,3571.62,23230.48346
2024-12-03 16:00:00,3571.62,3594.48,3542.19,3551.59,12598.04262
2024-12-03 17:00:00,3551.59,3578.44,3538.25,3578.06,8446.19838
2024-12-03 18:00:00,3578.06,3583.38,3565.35,3578.29,5748.20322
2024-12-03 19:00:00,3578.29,3579.72,3549.61,3576.86,6559.65834
2024-12-03 20:00:00,3576.86,3609.8,3574.35,3606.68,7544.02142
2024-12-03 21:00:00,3606.68,3629.31,3603.36,3611.72,7183.24955
2024-12-03 22:00:00,3611.72,3632.98,3595.32,3632.47,5066.44237
2024-12-03 23:00:00,3632.47,3633.63,3611.57,3614.85,5622.72981
2024-12-04 00:00:00,3614.85,3701.0,3614.29,3693.15,13343.06311
2024-12-04 01:00:00,3693.15,3707.06,3674.29,3685.81,17538.31077
2024-12-04 02:00:00,3685.81,3687.72,3628.26,3648.36,11960.66053
2024-12-04 03:00:00,3648.36,3677.25,3648.01,3662.11,5693.57626
2024-12-04 04:00:00,3662.11,3675.29,3660.37,3670.2,3409.64877
2024-12-04 05:00:00,3670.2,3687.99,3669.49,3683.19,11107.56743
2024-12-04 06:00:00,3683.19,3697.13,3664.73,3696.41,14383.83642
2024-12-04 07:00:00,3696.41,3722.71,3683.58,3715.57,14899.00422
2024-12-04 08:00:00,3715.57,3720.74,3698.0,3703.59,17062.91777
2024-12-04 09:00:00,3703.59,3733.35,3697.78,3726.57,10873.35761
2024-12-04 10:00:00,3726.57,3742.27,3711.5,3721.73,8187.41776
2024-12-04 11:00:00,3721.73,3750.0,3716.91,3728.0,8160.37093
2024-12-04 12:00:00,3728.0,3743.57,3696.96,3717.73,10371.27845
2024-12-04 13:00:00,3717.73,3736.3,3689.81,3708.13,13064.04858
2024-12-04 14:00:00,3708.13,3795.74,3692.91,3779.81,22414.38504
2024-12-04 15:00:00,3779.81,3854.6,3764.96,3822.58,37269.55666
2024-12-04 16:00:00,3822.58,3830.53,3734.01,3756.25,29431.39839
